date,month,week,season
2026-05-31,5,22,spring
2026-06-01,6,23,summer
2026-06-02,6,23,summer
2026-06-03,6,23,summer
2026-06-04,6,23,summer
2026-06-05,6,23,summer
2026-06-06,6,23,summer
2026-06-07,6,23,summer
2026-06-08,6,24,summer
2026-06-09,6,24,summer
2026-06-10,6,24,summer
2026-06-11,6,24,summer
2026-06-12,6,24,summer
2026-06-13,6,24,summer
2026-06-14,6,24,summer
2026-06-15,6,25,summer
2026-06-16,6,25,summer
2026-06-17,6,25,summer
2026-06-18,6,25,summer
2026-06-19,6,25,summer
2026-06-20,6,25,summer
2026-06-21,6,25,summer
2026-06-22,6,26,summer
2026-06-23,6,26,summer
2026-06-24,6,26,summer
2026-06-25,6,26,summer
2026-06-26,6,26,summer
2026-06-27,6,26,summer
2026-06-28,6,26,summer
2026-06-29,6,27,summer
2026-06-30,6,27,summer
2026-07-01,7,27,summer
2026-07-02,7,27,summer
2026-07-03,7,27,summer
2026-07-04,7,27,summer
2026-07-05,7,27,summer
2026-07-06,7,28,summer
2026-07-07,7,28,summer
2026-07-08,7,28,summer
2026-07-09,7,28,summer
2026-07-10,7,28,summer
2026-07-11,7,28,summer
2026-07-12,7,28,summer
2026-07-13,7,29,summer
2026-07-14,7,29,summer
2026-07-15,7,29,summer
2026-07-16,7,29,summer
2026-07-17,7,29,summer
2026-07-18,7,29,summer
2026-07-19,7,29,summer
2026-07-20,7,30,summer
2026-07-21,7,30,summer
2026-07-22,7,30,summer
2026-07-23,7,30,summer
2026-07-24,7,30,summer
2026-07-25,7,30,summer
2026-07-26,7,30,summer
2026-07-27,7,31,summer
2026-07-28,7,31,summer
2026-07-29,7,31,summer
2026-07-30,7,31,summer
2026-07-31,7,31,summer
2026-08-01,8,31,summer
2026-08-02,8,31,summer
2026-08-03,8,32,summer
2026-08-04,8,32,summer
2026-08-05,8,32,summer
2026-08-06,8,32,summer
2026-08-07,8,32,summer
2026-08-08,8,32,summer
2026-08-09,8,32,summer
2026-08-10,8,33,summer
2026-08-11,8,33,summer
2026-08-12,8,33,summer
2026-08-13,8,33,summer
2026-08-14,8,33,summer
2026-08-15,8,33,summer
2026-08-16,8,33,summer
2026-08-17,8,34,summer
2026-08-18,8,34,summer
2026-08-19,8,34,summer
2026-08-20,8,34,summer
2026-08-21,8,34,summer
2026-08-22,8,34,summer
2026-08-23,8,34,summer
2026-08-24,8,35,summer
2026-08-25,8,35,summer
2026-08-26,8,35,summer
2026-08-27,8,35,summer
2026-08-28,8,35,summer
2026-08-29,8,35,summer
2026-08-30,8,35,summer
2026-08-31,8,36,summer
2026-09-01,9,36,autumn
2026-09-02,9,36,autumn
2026-09-03,9,36,autumn
2026-09-04,9,36,autumn
2026-09-05,9,36,autumn
2026-09-06,9,36,autumn
2026-09-07,9,37,autumn
2026-09-08,9,37,autumn
2026-09-09,9,37,autumn
2026-09-10,9,37,autumn
2026-09-11,9,37,autumn
2026-09-12,9,37,autumn
2026-09-13,9,37,autumn
2026-09-14,9,38,autumn
2026-09-15,9,38,autumn
2026-09-16,9,38,autumn
2026-09-17,9,38,autumn
2026-09-18,9,38,autumn
2026-09-19,9,38,autumn
2026-09-20,9,38,autumn
2026-09-21,9,39,autumn
2026-09-22,9,39,autumn
2026-09-23,9,39,autumn
2026-09-24,9,39,autumn
2026-09-25,9,39,autumn
2026-09-26,9,39,autumn
2026-09-27,9,39,autumn
2026-09-28,9,40,autumn
2026-09-29,9,40,autumn
2026-09-30,9,40,autumn
2026-10-01,10,40,autumn
2026-10-02,10,40,autumn
2026-10-03,10,40,autumn
2026-10-04,10,40,autumn
2026-10-05,10,41,autumn
2026-10-06,10,41,autumn
2026-10-07,10,41,autumn
2026-10-08,10,41,autumn
2026-10-09,10,41,autumn
2026-10-10,10,41,autumn
2026-10-11,10,41,autumn
2026-10-12,10,42,autumn
2026-10-13,10,42,autumn
2026-10-14,10,42,autumn
2026-10-15,10,42,autumn
2026-10-16,10,42,autumn
2026-10-17,10,42,autumn
2026-10-18,10,42,autumn
2026-10-19,10,43,autumn
2026-10-20,10,43,autumn
2026-10-21,10,43,autumn
2026-10-22,10,43,autumn
2026-10-23,10,43,autumn
2026-10-24,10,43,autumn
2026-10-25,10,43,autumn
2026-10-26,10,44,autumn
2026-10-27,10,44,autumn
2026-10-28,10,44,autumn
2026-10-29,10,44,autumn
2026-10-30,10,44,autumn
2026-10-31,10,44,autumn
2026-11-01,11,44,autumn
2026-11-02,11,45,autumn
2026-11-03,11,45,autumn
2026-11-04,11,45,autumn
2026-11-05,11,45,autumn
2026-11-06,11,45,autumn
2026-11-07,11,45,autumn
2026-11-08,11,45,autumn
2026-11-09,11,46,autumn
2026-11-10,11,46,autumn
2026-11-11,11,46,autumn
2026-11-12,11,46,autumn
2026-11-13,11,46,autumn
2026-11-14,11,46,autumn
2026-11-15,11,46,autumn
2026-11-16,11,47,autumn
2026-11-17,11,47,autumn
2026-11-18,11,47,autumn
2026-11-19,11,47,autumn
2026-11-20,11,47,autumn
2026-11-21,11,47,autumn
2026-11-22,11,47,autumn
2026-11-23,11,48,autumn
2026-11-24,11,48,autumn
2026-11-25,11,48,autumn
2026-11-26,11,48,autumn
2026-11-27,11,48,autumn
2026-11-28,11,48,autumn
2026-11-29,11,48,autumn
2026-11-30,11,49,autumn
2026-12-01,12,49,winter
2026-12-02,12,49,winter
2026-12-03,12,49,winter
2026-12-04,12,49,winter
2026-12-05,12,49,winter
2026-12-06,12,49,winter
2026-12-07,12,50,winter
2026-12-08,12,50,winter
2026-12-09,12,50,winter
2026-12-10,12,50,winter
2026-12-11,12,50,winter
2026-12-12,12,50,winter
2026-12-13,12,50,winter
2026-12-14,12,51,winter
2026-12-15,12,51,winter
2026-12-16,12,51,winter
2026-12-17,12,51,winter
2026-12-18,12,51,winter
2026-12-19,12,51,winter
2026-12-20,12,51,winter
2026-12-21,12,52,winter
2026-12-22,12,52,winter
2026-12-23,12,52,winter
2026-12-24,12,52,winter
2026-12-25,12,52,winter
2026-12-26,12,52,winter
2026-12-27,12,52,winter
2026-12-28,12,53,winter
2026-12-29,12,53,winter
2026-12-30,12,53,winter
2026-12-31,12,53,winter
